alt_slug;bisher_slug;gemeinde;neuer_slug;status
adorf;adorfvogtl;Adorf/Vogtl.;adorf;umbenannt
altdorf-nuernberg;altdorf-bei-nuernberg;Altdorf bei Nürnberg;altdorf-nuernberg;umbenannt
altendorf-sebnitz;altenberg;Altenberg;;unsicher-orts-mismatch
altenkirchen-westerwald;altenkirchen-07132501;Altenkirchen;altenkirchen-westerwald;umbenannt
amberg-oberpfalz;amberg-09361000;Amberg;amberg-oberpfalz;umbenannt
artern-unstrut;artern;Artern;artern-unstrut;umbenannt
asbach-westerwald;asbach;Asbach;asbach-westerwald;umbenannt
auerbach-vogtland;auerbachvogtl;Auerbach/Vogtl.;auerbach-vogtland;umbenannt
bad-griesbach-rottal;bad-griesbach-im-rottal;Bad Griesbach im Rottal;bad-griesbach-rottal;umbenannt
bad-homburg;bad-homburg-vor-der-hoehe;Bad Homburg vor der Höhe;bad-homburg;umbenannt
bad-koenigshofen-grabfeld;bad-koenigshofen-im-grabfeld;Bad Königshofen im Grabfeld;bad-koenigshofen-grabfeld;umbenannt
bad-neustadt-saale;bad-neustadt-an-der-saale;Bad Neustadt an der Saale;bad-neustadt-saale;umbenannt
barendorf-grevesmuehlen;barendorf;Barendorf;barendorf-grevesmuehlen;umbenannt
bergen-celle;bergen-03351004;Bergen;bergen-celle;umbenannt
bergheim-erft;bergheim;Bergheim;bergheim-erft;umbenannt
bernburg-saale;bernburg;Bernburg;bernburg-saale;umbenannt
birkenfeld-nahe;birkenfeld-07134010;Birkenfeld;birkenfeld-nahe;umbenannt
boizenburg;gallin;Gallin;;unsicher-orts-mismatch
borken-westfalen;borken;Borken;borken-westfalen;umbenannt
brake-unterweser;brake;Brake;brake-unterweser;umbenannt
bremen-stadt;bremen;Bremen;bremen-stadt;umbenannt
buchen-odenwald;buchen;Buchen;buchen-odenwald;umbenannt
burg-magdeburg;burg;Burg;;unsicher-orts-mismatch
burgdorf-hannover;burgdorf;Burgdorf;burgdorf-hannover;umbenannt
damm-parchim;damm;Damm;damm-parchim;umbenannt
damme-duemmer;damme;Damme;damme-duemmer;umbenannt
demmin-hansestadt;demmin;Demmin;demmin-hansestadt;umbenannt
dillingen-donau;dillingen-an-der-donau;Dillingen an der Donau;dillingen-donau;umbenannt
dobritz;doebritz;Döbritz;;unsicher-orts-mismatch
ehingen-donau;ehingen-08425033;Ehingen;ehingen-donau;umbenannt
eisenach-thueringen;eisenach-16056000;Eisenach;eisenach-thueringen;umbenannt
eisenberg-pfalz;eisenberg-07333019;Eisenberg;eisenberg-pfalz;umbenannt
eisenberg-thueringen;eisenberg;Eisenberg;eisenberg-thueringen;umbenannt
ellwangen-jagst;ellwangen;Ellwangen;ellwangen-jagst;umbenannt
elmenhorst-lauenburg;elmenhorst;Elmenhorst;elmenhorst-lauenburg;umbenannt
elsdorf-koethen-anhalt;zoerbig;Zörbig;;unsicher-orts-mismatch
emden-ostfriesland;emden;Emden;emden-ostfriesland;umbenannt
erbach-odenwald;erbach-06437006;Erbach;erbach-odenwald;umbenannt
eschenbach-oberpfalz;eschenbach-in-der-oberpfalz;Eschenbach in der Oberpfalz;eschenbach-oberpfalz;umbenannt
essen-ruhr;essen;Essen;essen-ruhr;umbenannt
forchheim-oberfanken;forchheim;Forchheim;forchheim-oberfanken;umbenannt
frankenthal-pfalz;frankenthal;Frankenthal;frankenthal-pfalz;umbenannt
freiberg-sachsen;freiberg;Freiberg;freiberg-sachsen;umbenannt
friedberg-bayern;friedberg-09771130;Friedberg;friedberg-bayern;umbenannt
friedberg-hessen;friedberg;Friedberg;friedberg-hessen;umbenannt
fuerstenau-bramsche-hase;fuerstenau;Fürstenau;fuerstenau-bramsche-hase;umbenannt
fuerstenwalde-spree;fuerstenwalde;Fürstenwalde;fuerstenwalde-spree;umbenannt
fuerth-bayern;fuerth-09563000;Fürth;fuerth-bayern;umbenannt
gaegelow-sternberg;gaegelow;Gägelow;gaegelow-sternberg;umbenannt
gehrden-zerbst;gehrden;Gehrden;gehrden-zerbst;umbenannt
grafenau-niederbayern;grafenau;Grafenau;grafenau-niederbayern;umbenannt
gramzow-perleberg;gramzow;Gramzow;gramzow-perleberg;umbenannt
granzin-hagenow;granzin;Granzin;granzin-hagenow;umbenannt
greifswald-hansestadt;greifswald;Greifswald;greifswald-hansestadt;umbenannt
hagen-westfalen;hagen;Hagen;hagen-westfalen;umbenannt
hagenow-heide;hagenow;Hagenow;hagenow-heide;umbenannt
hamberge-grevesmuehlen;hamberge;Hamberge;hamberge-grevesmuehlen;umbenannt
hamm-westfalen;hamm;Hamm;hamm-westfalen;umbenannt
haselbach-soeldhaus;eschach;Eschach;;unsicher-orts-mismatch
heide-holstein;heide;Heide;heide-holstein;umbenannt
heppenheim-bergstrasse;heppenheim;Heppenheim;heppenheim-bergstrasse;umbenannt
herborn-hessen;herborn;Herborn;herborn-hessen;umbenannt
himmelweiler;himmelkron;Himmelkron;;unsicher-orts-mismatch
hoechstadt-aisch;hoechstadt-an-der-aisch;Höchstadt an der Aisch;hoechstadt-aisch;umbenannt
hof-saale;hof;Hof;;unsicher-orts-mismatch
hofheim-unterfranken;hofheim-in-unterfranken;Hofheim in Unterfranken;hofheim-unterfranken;umbenannt
hude-oldenburg;hude-03458010;Hude;hude-oldenburg;umbenannt
huetten-haldensleben;altenhausen;Altenhausen;;unsicher-orts-mismatch
husum-nordsee;husum;Husum;husum-nordsee;umbenannt
karlstadt;karlstadt-am-main;Karlstadt am Main;karlstadt;umbenannt
kempten-allgaeu;kempten;Kempten;kempten-allgaeu;umbenannt
kleve-niederrhein;kleve-05154036;Kleve;kleve-niederrhein;umbenannt
koethen-anhalt;koethen;Köthen;koethen-anhalt;umbenannt
krumbach-schwaben;krumbach;Krumbach;krumbach-schwaben;umbenannt
lahr-schwarzwald;lahrschwarzwald;Lahr/Schwarzwald;lahr-schwarzwald;umbenannt
lambrecht-pfalz;lambrecht;Lambrecht;lambrecht-pfalz;umbenannt
landau-isar;landau-an-der-isar;Landau an der Isar;landau-isar;umbenannt
langen-hessen;langen;Langen;langen-hessen;umbenannt
langenfeld-rheinland;langenfeld-07137060;Langenfeld;langenfeld-rheinland;umbenannt
langenhagen-hannover;langenhagen;Langenhagen;langenhagen-hannover;umbenannt
lauf-pegnitz;lauf-an-der-pegnitz;Lauf an der Pegnitz;lauf-pegnitz;umbenannt
lauterbach-hessen;lauterbach-06535011;Lauterbach;lauterbach-hessen;umbenannt
leer-ostfriesland;leer;Leer;leer-ostfriesland;umbenannt
leichlingen-rheinland;leichlingen;Leichlingen;leichlingen-rheinland;umbenannt
leonberg-wuerttemberg;leonberg;Leonberg;leonberg-wuerttemberg;umbenannt
lichtenberg-neuruppin;temnitztal;Temnitztal;;unsicher-orts-mismatch
lichtenfels-bayern;lichtenfels;Lichtenfels;lichtenfels-bayern;umbenannt
limburg;limburg-an-der-lahn;Limburg an der Lahn;limburg;umbenannt
lindau-anhalt;zoerbig;Zörbig;;unsicher-orts-mismatch
lindau-bodensee;lindau;Lindau;lindau-bodensee;umbenannt
lingen-ems;lingen;Lingen;lingen-ems;umbenannt
linz;linz-am-rhein;Linz am Rhein;linz;umbenannt
loebnitz-an-der-linde;zoerbig;Zörbig;;unsicher-orts-mismatch
lohr-main;lohr-am-main;Lohr am Main;lohr-main;umbenannt
luechow-wendland;luechow-03354018;Lüchow;luechow-wendland;umbenannt
machern-mosel;machern;Machern;machern-mosel;umbenannt
mainz-kastel;mainz;Mainz;mainz-kastel;umbenannt
mainz-kostheim;mainz;;;keine-gemeinde
marl-westfalen;marl;Marl;marl-westfalen;umbenannt
meckenheim-rheinland;meckenheim;Meckenheim;meckenheim-rheinland;umbenannt
minden-westfalen;minden;Minden;minden-westfalen;umbenannt
moosburg-isar;moosburg-an-der-isar;Moosburg an der Isar;moosburg-isar;umbenannt
muehldorf-inn;muehldorf-am-inn;Mühldorf am Inn;muehldorf-inn;umbenannt
muehlhausen-thueringen;muehlhausenthueringen;Mühlhausen/Thüringen;muehlhausen-thueringen;umbenannt
muellheim;muellheim-im-markgraeflerland;Müllheim im Markgräflerland;muellheim;umbenannt
muenchen-flughafen;muenchen;München;muenchen-flughafen;umbenannt
muenster-westfalen;muenster-05515000;Münster;muenster-westfalen;umbenannt
naumburg-saale;naumburg;Naumburg;naumburg-saale;umbenannt
neu-bleckede;lueneburg;Lüneburg;;unsicher-orts-mismatch
neuburg-donau;neuburg-an-der-donau;Neuburg an der Donau;neuburg-donau;umbenannt
neumarkt-oberpfalz;neumarkt-in-der-oberpfalz;Neumarkt in der Oberpfalz;neumarkt-oberpfalz;umbenannt
neundorf-plauen;neustadtvogtl;Neustadt/Vogtl.;;unsicher-orts-mismatch
neunkirchen-saar;neunkirchen-10043114;Neunkirchen;neunkirchen-saar;umbenannt
neustadt-aisch;neustadt-an-der-aisch;Neustadt an der Aisch;neustadt-aisch;umbenannt
neustadt-waldnaab;neustadt-an-der-waldnaab;Neustadt an der Waldnaab;neustadt-waldnaab;umbenannt
nienburg-weser;nienburgweser;Nienburg/Weser;nienburg-weser;umbenannt
oberhausen-rheinland;oberhausen-05119000;Oberhausen;oberhausen-rheinland;umbenannt
obernburg-main;obernburg-am-main;Obernburg am Main;obernburg-main;umbenannt
oelsnitz-vogtland;oelsnitzvogtl;Oelsnitz/Vogtl.;oelsnitz-vogtland;umbenannt
oldenburg-oldb;oldenburg;Oldenburg;oldenburg-oldb;umbenannt
ottendorf-sebnitz;tharandt;Tharandt;;unsicher-orts-mismatch
pfaffenhofen-ilm;pfaffenhofen-an-der-ilm;Pfaffenhofen an der Ilm;pfaffenhofen-ilm;umbenannt
rheinsberg-glienicke;rheinsberg;Rheinsberg;rheinsberg-glienicke;umbenannt
rosenheim-oberbayern;rosenheim;Rosenheim;rosenheim-oberbayern;umbenannt
rotenburg-fulda;rotenburg-an-der-fulda;Rotenburg an der Fulda;rotenburg-fulda;umbenannt
rotenburg-wuemme;rotenburg;Rotenburg;rotenburg-wuemme;umbenannt
roth-mittelfranken;roth;Roth;roth-mittelfranken;umbenannt
rottenburg-laaber;landshut;Landshut;;unsicher-orts-mismatch
ruesselsheim;ruesselsheim-am-main;Rüsselsheim am Main;ruesselsheim;umbenannt
saalfeld-saale;saalfeldsaale;Saalfeld/Saale;saalfeld-saale;umbenannt
salzwedel-hansestadt;salzwedel;Salzwedel;salzwedel-hansestadt;umbenannt
schlegel-zittau;schlegel;Schlegel;schlegel-zittau;umbenannt
schoenborn-dresden;dresden;Dresden;;unsicher-orts-mismatch
schoenebeck-elbe;schoenebeck;Schönebeck;schoenebeck-elbe;umbenannt
schoenfeld-westprignitz;lenzerwische;Lenzerwische;;unsicher-orts-mismatch
schorndorf-wuerttemberg;schorndorf;Schorndorf;schorndorf-wuerttemberg;umbenannt
schwerin-mecklenburg;schwerin;Schwerin;schwerin-mecklenburg;umbenannt
simmern-hunsrueck;simmern;Simmern;simmern-hunsrueck;umbenannt
staufenberg-niedersachsen;staufenberg-03159034;Staufenberg;staufenberg-niedersachsen;umbenannt
sternberger-burg;sternberg;Sternberg;;unsicher-orts-mismatch
stollberg-erzgebirge;stollbergerzgeb;Stollberg/Erzgeb.;stollberg-erzgebirge;umbenannt
strassberg-plauen;strassberg;Straßberg;strassberg-plauen;umbenannt
vohburg-donau;vohburg-an-der-donau;Vohburg an der Donau;vohburg-donau;umbenannt
waren-mueritz;waren;Waren;waren-mueritz;umbenannt
wartenberg-hessen;wartenberg-06535019;Wartenberg;wartenberg-hessen;umbenannt
wasserburg-inn;wasserburg-am-inn;Wasserburg am Inn;wasserburg-inn;umbenannt
weiden-oberpfalz;weiden-in-der-oberpfalz;Weiden in der Oberpfalz;weiden-oberpfalz;umbenannt
weilheim-oberbayern;weilheim-in-oberbayern;Weilheim in Oberbayern;weilheim-oberbayern;umbenannt
weimar-thueringen;weimar;Weimar;weimar-thueringen;umbenannt
weissenburg-bayern;weissenburg-in-bayern;Weißenburg in Bayern;weissenburg-bayern;umbenannt
weisswasser-oberlausitz;weisswasserol;Weißwasser/O.L.;weisswasser-oberlausitz;umbenannt
wennigsen-deister;wennigsen;Wennigsen;wennigsen-deister;umbenannt
winsen-luhe;winsen;Winsen;winsen-luhe;umbenannt
wuelknitz-koethen-anhalt;wuelknitz;Wülknitz;wuelknitz-koethen-anhalt;umbenannt
zapel-hagenow;zapel;Zapel;zapel-hagenow;umbenannt
zell-mosel;zell;Zell;zell-mosel;umbenannt
zerbst-anhalt;zerbstanhalt;Zerbst/Anhalt;zerbst-anhalt;umbenannt
zernitz;zernitz-lohm;Zernitz-Lohm;zernitz;umbenannt
ziegelhuette-birkweiler;birkweiler;Birkweiler;;unsicher-orts-mismatch
zuelow-sternberg;zuelow;Zülow;zuelow-sternberg;umbenannt
